SampleID,Tissue,Timepoint,Genotype,Condition,Replicate,Peaks,bamReads
CFLE9R1,FL,E9,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E9/Peaks/CFLE9_peak/R1/CFLE9R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/CFLE9R1_out/CFLE9R1_callpeak.bam
CFLE9R2,FL,E9,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E9/Peaks/CFLE9_peak/R2/CFLE9R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E9/Cleaned/CFLE9R2_out/CFLE9R2_callpeak.bam
HP1E10R1,PA1,E10,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E10/Peaks/HP1E10_peak/R1/HP1E10R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/HP1E10R1_out/HP1E10R1_callpeak.bam
HP1E10R2,PA1,E10,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E10/Peaks/HP1E10_peak/R2/HP1E10R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/HP1E10R2_out/HP1E10R2_callpeak.bam
CP1E10R1,PA1,E10,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E10/Peaks/CP1E10_peak/R1/CP1E10R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/CP1E10R1_out/CP1E10R1_callpeak.bam
CP1E10R2,PA1,E10,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E10/Peaks/CP1E10_peak/R2/CP1E10R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/CP1E10R2_out/CP1E10R2_callpeak.bam
HP2E10R1,PA2,E10,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E10/Peaks/HP2E10_peak/R1/HP2E10R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/HP2E10R1_out/HP2E10R1_callpeak.bam
HP2E10R2,PA2,E10,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E10/Peaks/HP2E10_peak/R2/HP2E10R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/HP2E10R2_out/HP2E10R2_callpeak.bam
CP2E10R1,PA2,E10,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E10/Peaks/CP2E10_peak/R1/CP2E10R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/CP2E10R1_out/CP2E10R1_callpeak.bam
CP2E10R2,PA2,E10,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E10/Peaks/CP2E10_peak/R2/CP2E10R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/CP2E10R2_out/CP2E10R2_callpeak.bam
HFLE10R1,FL,E10,Human,Human,1,/vast/palmer/scratch/noonan/yj345/E10/Peaks/HFLE10_peak/R1/HFLE10R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/HFLE10R1_out/HFLE10R1_callpeak.bam
HFLE10R2,FL,E10,Human,Human,2,/vast/palmer/scratch/noonan/yj345/E10/Peaks/HFLE10_peak/R2/HFLE10R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/HFLE10R2_out/HFLE10R2_callpeak.bam
CFLE10R1,FL,E10,Chimp,Chimp,1,/vast/palmer/scratch/noonan/yj345/E10/Peaks/CFLE10_peak/R1/CFLE10R1.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/CFLE10R1_out/CFLE10R1_callpeak.bam
CFLE10R2,FL,E10,Chimp,Chimp,2,/vast/palmer/scratch/noonan/yj345/E10/Peaks/CFLE10_peak/R2/CFLE10R2.narrowPeak,/vast/palmer/scratch/noonan/yj345/E10/Cleaned/CFLE10R2_out/CFLE10R2_callpeak.bam
